"Table S9: Differential expression statistics for those features that were significant and replicated in case-control comparisons. Based on N=351 independent samples/subjects and linear regression (two-sided p-values), see Methods.",,,,,,,,,,,,,,,,,,,,,,
Feature,Type,Symbol,EntrezID,EnsemblGeneID,AnnoClass,meanExprsAdult,Coordinates,log2FC_adj,pval_adj,fdr_adj,log2FC_qsva,pval_qsva,fdr_qsva,log2FC_pca,pval_pca,fdr_pca,CMC_log2FC_adj,CMC_pval_adj,CMC_log2FC_qsva,CMC_pval_qsva,CMC_log2FC_pca,CMC_pval_pca
e1172091,Exon,,101927051,ENSG00000233360,InEns,8.145890985,chr22:38044330-38044429(-),-0.123621834,0.016006175,0.110619991,-0.207314455,8.93E-06,0.027510915,-0.142259042,0.001722064,0.097202967,-0.12488108,0.009152228,-0.08997343,0.031858704,-0.079144273,0.055882155
e1000507,Exon,NSFP1,728806,ENSG00000260075,InEns,69.9908758,chr17:44553510-44553584(+),0.530936447,0.040382994,0.184773799,1.081555698,9.35E-06,0.028252968,0.864563646,0.000269677,0.044332759,0.409510418,0.026884544,0.431457296,0.022400497,0.369983244,0.060325064
e601735,Exon,OLFM1,10439,ENSG00000130558,InEns,663.6697305,chr9:137982041-137982190(+),-0.053087292,0.293252605,0.547297507,-0.113069694,9.73E-06,0.028492115,-0.097622104,2.00E-05,0.013951541,-0.082195931,0.116253701,-0.094468979,0.002431031,-0.008083324,0.662558497
ENSG00000197045,Gene,GMFB,2764,ENSG00000197045,InEns,24.32914484,chr14:54941202-54955914(-),-0.069577989,0.217742079,0.477170062,0.085453587,1.08E-05,0.010560015,0.037818006,0.009338541,0.250741675,0.064117055,0.180377605,0.057129424,0.006209311,0.028403629,0.01383588
er135071,ER,IRAK1BP1,134728,ENSG00000146243,AltStartEnd,2406.481998,chr6:79644213-79650250(*),0.097147985,0.085285271,0.325403169,0.097386018,1.12E-05,0.040368783,0.118782766,2.81E-08,0.000967483,0.110954369,0.040326698,0.08712186,0.002017151,0.065970538,0.000827299
e978873,Exon,NOS2,4843,ENSG00000007171,InEns,3.698822234,chr17:26083792-26084379(-),-0.0482839,0.331893807,0.584047112,-0.176366016,1.14E-05,0.031057045,-0.157012173,8.23E-05,0.02633311,-0.054024212,0.069835076,-0.055733913,0.038615206,-0.040607205,0.130064426
er315808,ER,FMNL1,752,ENSG00000184922,InEns,197.553183,chr17:43322346-43322475(*),-0.07547931,0.157220855,0.439862261,-0.159261045,1.16E-05,0.040368783,-0.086010841,0.005985108,0.237435372,-0.124265194,0.056598506,-0.096567955,0.025158254,-0.026262115,0.515945372
er386413,ER,RBMX2,51634,ENSG00000134597,AltStartEnd,167.7541997,chrX:129544423-129545499(*),0.124322235,0.002919047,0.059764094,0.155697993,1.17E-05,0.040368783,0.103355514,0.000941932,0.118651937,0.105807381,0.020151751,0.057870574,0.044527059,0.066895786,0.018304288
e107032,Exon,KCNK1,3775,ENSG00000135750,InEns,64.80268799,chr1:233807017-233807237(+),-0.25939996,9.86E-07,0.000555,-0.105230579,1.18E-05,0.031791517,-0.09191444,0.00010945,0.029754865,-0.096121335,0.037484794,-0.097422616,0.001408515,-0.095116057,0.000215808
ENSG00000165092,Gene,ALDH1A1,216,ENSG00000165092,InEns,16.92969296,chr9:75515578-75695358(-),-0.059941038,0.269405363,0.534292211,-0.215389217,1.19E-05,0.011067284,-0.187696146,3.95E-06,0.012743533,-0.230393235,7.83E-06,-0.253164346,4.61E-09,-0.151822354,4.68E-05
e1172056,Exon,SH3BP1,23616,ENSG00000100092,InEns,16.89290473,chr22:38037471-38037485(+),-0.312693445,4.23E-05,0.004112327,-0.304728793,1.20E-05,0.032008555,-0.221824998,0.000935117,0.075061472,-0.236667579,0.01195618,-0.188320909,0.032806282,-0.126149409,0.147812363
er101477,ER,JADE1,79960,ENSG00000077684,AltStartEnd,777.8598976,chr4:129794448-129796359(*),0.199634893,0.000307343,0.018501251,0.122214319,1.28E-05,0.0410763,0.107231536,9.91E-06,0.019251258,0.114142204,0.02148396,0.055332697,0.031950251,0.029756691,0.209730212
er383351,ER,ATRX,546,ENSG00000085224,InEns,4153.251119,chrX:76760411-76764107(*),0.017032547,0.781151293,0.911374882,0.081829522,1.30E-05,0.0410763,0.071448431,2.76E-06,0.010863962,0.075361596,0.134180359,0.049501878,0.0253254,0.022166363,0.150911917
e578025,Exon,ALDH1A1,216,ENSG00000165092,InEns,32.86770325,chr9:75545795-75545935(-),-0.089118703,0.168380098,0.40549122,-0.259438921,1.37E-05,0.034395988,-0.253897483,1.12E-07,0.001430239,-0.244489411,8.09E-06,-0.274116049,4.82E-09,-0.230392637,4.61E-07
ENSG00000204396,Gene,VWA7,80737,ENSG00000204396,InEns,3.776110427,chr6:31733367-31745108(-),-0.070929936,0.152648295,0.392710783,-0.108017174,1.40E-05,0.011652546,-0.097314863,2.26E-05,0.034111347,-0.07698258,0.001241203,-0.053225767,0.002026803,-0.023457584,0.121075213
er141458,ER,RGS17,26575,ENSG00000091844,InEns,1013.343553,chr6:153325636-153332897(*),0.05870751,0.357536943,0.647893779,0.132216105,1.44E-05,0.044506661,0.140332556,2.01E-06,0.009390796,0.100542311,0.060184101,0.0659134,0.01529535,0.04441231,0.026025036
e423332,Exon,RGS17,26575,ENSG00000091844,InEns,2.017380301,chr6:153325594-153332897(-),0.027625793,0.459956995,0.692583662,0.079248105,1.45E-05,0.035802676,0.092232026,1.41E-06,0.004237121,0.076526197,0.056986572,0.049955993,0.014189803,0.043650356,0.011630807
e827106,Exon,GMFB,2764,ENSG00000197045,InEns,28.72085581,chr14:54941202-54947674(-),-0.06698915,0.260835253,0.514470742,0.087350301,1.49E-05,0.036192019,0.078812748,3.34E-06,0.006008221,0.067198457,0.186629761,0.0592062,0.007625793,0.047444633,0.001238874
er5397,ER,EPHA8,2046,ENSG00000070886,InEns,1.149608533,chr1:22902841-22902863(*),0.184886965,0.000753603,0.029374408,0.230588386,1.55E-05,0.044506661,0.213832028,0.000108103,0.053834159,0.100434418,0.031024747,0.099471786,0.020921246,0.08767055,0.071197648
e1026257,Exon,TIMP2,7077,ENSG00000035862,InEns,8.183259183,chr17:76852046-76853728(-),0.019559729,0.662589392,0.831205311,0.112394444,1.57E-05,0.037232877,0.118751761,5.36E-08,0.000995586,0.06364451,0.062261571,0.082980741,0.000133039,0.064521797,0.000152524
ENSG00000223573,Gene,TINCR,257000,ENSG00000223573,InEns,1.960713408,chr19:5558178-5568045(-),0.189854102,5.02E-06,0.000644132,0.16891254,1.59E-05,0.011993104,0.128641136,0.000708053,0.092916333,0.040466964,0.038436407,0.047325373,0.009358775,0.037924035,0.035001274
er355799,ER,MACROD2,140733,ENSG00000172264,InEns,1245.688755,chr20:16030628-16033829(*),0.022366117,0.682710646,0.862483797,0.108157852,1.69E-05,0.045853225,0.114825775,1.58E-06,0.00872882,0.077891791,0.145652116,0.056528994,0.039963645,0.038864914,0.108806961
e578043,Exon,ALDH1A1,216,ENSG00000165092,InEns,59.01050413,chr9:75531885-75531973(-),-0.03485545,0.578179204,0.777556451,-0.248081344,1.71E-05,0.038489491,-0.234762156,4.71E-07,0.002544561,-0.210751865,0.00022024,-0.237844348,8.38E-07,-0.191704116,3.13E-05
e586323,Exon,GRIN3A,116443,ENSG00000198785,InEns,3.231397324,chr9:104341478-104341642(-),-0.035703662,0.606815366,0.796270401,0.186550372,1.80E-05,0.039221667,0.200869729,2.46E-06,0.005430736,0.118035722,0.012477375,0.112742507,0.002946701,0.084866766,0.020452179
er185141,ER,ALDH1A1,216,ENSG00000165092,InEns,354.0924671,chr9:75531836-75532020(*),-0.035031987,0.581532077,0.806138591,-0.249253204,1.86E-05,0.047550422,-0.237715552,6.31E-07,0.004975051,-0.207869191,0.000591158,-0.241197281,1.50E-06,-0.124256959,0.015400154
e177001,Exon,NABP1,64859,ENSG00000173559,InEns,2.227232322,chr2:192550325-192550620(+),0.098896097,0.030097057,0.156837623,0.170585055,1.86E-05,0.039862465,0.148984865,0.000151919,0.034067974,0.106452611,0.012926217,0.076799737,0.028796634,0.055705954,0.084333301
er339087,ER,KCNN1,3780,ENSG00000105642,InEns,16.57510779,chr19:18065370-18065490(*),-0.360051538,0.000361283,0.02003252,-0.301779353,1.92E-05,0.047550422,-0.288873784,2.98E-05,0.031396,-0.284091393,0.002607331,-0.214296747,0.012648538,-0.048739757,0.573605216
er310252,ER,NOS2,4843,ENSG00000007171,InEns,39.17134033,chr17:26085907-26086101(*),-0.106197658,0.229195069,0.526100405,-0.278318486,1.94E-05,0.047550422,-0.254518717,7.79E-05,0.048054784,-0.129933001,0.111288404,-0.14487072,0.043975661,-0.06512092,0.396074821
e699239,Exon,RSF1,51773,ENSG00000048649,InEns,5.775399616,chr11:77371041-77378536(-),0.03440953,0.187791449,0.430438369,0.059046915,1.94E-05,0.040512635,0.071862651,2.39E-07,0.001886186,0.060215941,0.056098833,0.036376612,0.033449876,0.013286639,0.353394085
er7032,ER,TMEM200B,NA,NA,Novel,1.479953868,chr1:29455458-29455480(*),-0.304981244,1.12E-06,0.000917182,-0.242325641,1.98E-05,0.047963283,-0.265591538,4.41E-06,0.013107301,-0.135175183,2.41E-05,-0.114822648,0.000213342,-0.092776637,0.005679826
e1086802,Exon,TINCR,257000,ENSG00000223573,InEns,2.259983397,chr19:5558178-5561410(-),0.200403397,3.76E-06,0.001040375,0.174451226,2.00E-05,0.040799055,0.158053087,0.000110822,0.029792453,0.04203528,0.042866977,0.048780159,0.01193192,0.046238988,0.016949089
e1107240,Exon,KCNN1,3780,ENSG00000105642,InEns,4.151577791,chr19:18065370-18065462(+),-0.273718406,0.000219137,0.010511356,-0.228574547,2.03E-05,0.040959209,-0.222862043,3.70E-05,0.018204717,-0.168078924,0.000599165,-0.129403642,0.003553128,-0.096437313,0.026204949
e827113,Exon,GMFB,2764,ENSG00000197045,InEns,48.79268429,chr14:54941203-54944877(-),-0.067302046,0.288235688,0.542399234,0.089842994,2.04E-05,0.041045513,0.080192292,3.35E-06,0.006008221,0.070397654,0.188386932,0.062022857,0.007891266,0.048729077,0.00180112
er372931,ER,SH3BP1,23616,ENSG00000100092,InEns,13.89437346,chr22:38038546-38038622(*),-0.281952007,8.43E-05,0.009403781,-0.272985883,2.10E-05,0.047963283,-0.200052074,0.000614762,0.102761172,-0.307751552,7.36E-05,-0.266691066,0.000180733,-0.170433663,0.024014741
er381475,ER,HUWE1,10075,ENSG00000086758,InEns,19.36761846,chrX:53652118-53652219(*),-0.307741893,0.013587026,0.129536562,-0.312796824,2.12E-05,0.047963283,-0.220112747,0.00034214,0.084955173,-0.075594541,0.173252108,-0.090399368,0.017995278,-0.036048817,0.280026674
er372940,ER,SH3BP1,23616,ENSG00000100092,AltStartEnd,16.06844029,chr22:38043448-38043528(*),-0.163684564,0.008455827,0.101892804,-0.257438115,2.14E-05,0.047963283,-0.205735756,0.000171358,0.063627783,-0.218982572,0.00410025,-0.152138877,0.026283579,-0.130411448,0.078386372
ENSG00000181045,Gene,SLC26A11,284129,ENSG00000181045,InEns,4.934481492,chr17:78193498-78227299(+),0.161363509,3.49E-08,3.01E-05,0.0971875,2.18E-05,0.01459441,0.075635073,0.000317074,0.075328051,0.035276272,0.193498642,0.054962642,0.002794608,0.026930247,0.035073578
e999362,Exon,FMNL1,752,ENSG00000184922,InEns,49.95006621,chr17:43323872-43323971(+),-0.017598833,0.769010832,0.892201631,-0.146978698,2.19E-05,0.042314938,-0.114670934,0.000250234,0.042852998,-0.132280183,0.02203128,-0.117455085,0.004499675,-0.028556739,0.428717572
e1114065,Exon,SCN1B,6324,ENSG00000105711,InEns,206.9738319,chr19:35530539-35530610(+),-0.113019323,0.041063816,0.186538318,-0.160902575,2.21E-05,0.042368941,-0.20133878,6.93E-08,0.001068821,-0.155521248,0.006387907,-0.12096068,0.007043516,-0.102138785,0.006427199
e578031,Exon,ALDH1A1,216,ENSG00000165092,InEns,44.91873474,chr9:75531836-75532020(-),-0.035983074,0.55130621,0.759210422,-0.236663281,2.22E-05,0.042368941,-0.226775749,5.62E-07,0.002714257,-0.198596328,0.000589518,-0.23361362,7.73E-07,-0.188546404,2.74E-05
ENSG00000243368,Gene,MCCC1-AS1,NA,ENSG00000243368,InEns,1.261693004,chr3:182734043-182735596(+),0.150833325,7.39E-06,0.00084135,0.117676339,2.25E-05,0.014688024,0.075513135,0.003993717,0.188597645,0.061642675,0.019359522,0.058857263,0.011605692,0.041729738,0.060375241
e854995,Exon,GABRA5,2558,ENSG00000186297,InEns,47.24861957,chr15:27114322-27114481(+),0.002622752,0.975882998,0.989864695,0.135216182,2.33E-05,0.043404905,0.146324826,5.30E-06,0.00713968,0.128675558,0.00722041,0.100621704,0.001436124,0.116915162,0.000102476
er372941,ER,SH3BP1,23616,ENSG00000100092,AltStartEnd,37.51156177,chr22:38044326-38044442(*),-0.128878205,0.033985907,0.206856884,-0.224754403,2.51E-05,0.050542098,-0.174775318,0.00043746,0.093557155,-0.211939692,0.011447536,-0.160502791,0.02629603,-0.159086335,0.033844307
er194343,ER,OLFM1,10439,ENSG00000130558,InEns,4018.830752,chr9:137982041-137982190(*),-0.049975657,0.328907156,0.623871469,-0.112391552,2.55E-05,0.050573563,-0.089450778,0.00010144,0.052798181,-0.092037295,0.082455073,-0.098289019,0.00196457,0.004587524,0.835604068
er185139,ER,ALDH1A1,216,ENSG00000165092,InEns,351.181771,chr9:75524518-75524675(*),-0.042279691,0.467935314,0.732956346,-0.221753985,2.61E-05,0.050671668,-0.217366949,1.78E-06,0.009390796,-0.253782532,6.01E-05,-0.274650904,3.78E-07,-0.107161138,0.03479302
e909351,Exon,HMOX2,3163,ENSG00000103415,InEns,96.63009273,chr16:4557714-4557903(+),-0.068849929,0.042590401,0.190408785,-0.072645441,2.61E-05,0.046058605,-0.094112693,4.73E-07,0.002544561,-0.028487931,0.484059928,-0.046093544,0.022955487,-0.006134483,0.675652898
e283725,Exon,FAM184B,27146,ENSG00000047662,InEns,7.236514843,chr4:17630929-17634248(-),0.01745879,0.571415016,0.772995947,0.068745011,2.67E-05,0.046071118,0.063820856,0.000816882,0.070809007,0.029823845,0.148330368,0.02751437,0.04387318,0.010372122,0.436550918
e909364,Exon,HMOX2,3163,ENSG00000103415,InEns,95.77047257,chr16:4557714-4557905(+),-0.068727723,0.042808836,0.190970675,-0.072418332,2.73E-05,0.046452138,-0.093857383,5.11E-07,0.002552939,-0.028361107,0.48556952,-0.045953434,0.023168826,-0.006279875,0.668755765
ENSG00000091844,Gene,RGS17,26575,ENSG00000091844,InEns,1.974512795,chr6:153325594-153452384(-),0.021623442,0.549755845,0.7646434,0.074528004,2.79E-05,0.017549285,0.053069398,0.000306787,0.075328051,0.074868984,0.045757048,0.049694628,0.00979797,0.02873764,0.040219406
er341732,ER,SCN1B,6324,ENSG00000105711,InEns,2871.599551,chr19:35524403-35524693(*),-0.095195294,0.139589807,0.414959527,-0.159259413,2.86E-05,0.054042369,-0.186752277,4.56E-07,0.004396456,-0.153414475,0.005765138,-0.13791759,0.001193618,-0.050297399,0.206171414
e696956,Exon,PGM2L1,283209,ENSG00000165434,InEns,29.84605339,chr11:74041363-74047799(-),-0.048473205,0.495597321,0.719485187,0.09884984,2.89E-05,0.047943361,0.103480212,2.01E-06,0.004885078,0.116553088,0.045601643,0.078504487,0.001759279,0.040802021,0.027255844
e905051,Exon,MLST8,64223,ENSG00000167965,InEns,45.55792548,chr16:2258760-2259099(+),0.018304168,0.644325977,0.819925728,-0.089938894,2.91E-05,0.047943361,-0.096246777,5.09E-06,0.007128532,-0.115817934,0.021731786,-0.071488563,0.033750857,-0.019102993,0.464932954
er344684,ER,,NA,ENSG00000269749,InEns,326.3386994,chr19:40575087-40577011(*),0.047829275,0.439743516,0.712665193,0.129271868,2.92E-05,0.054506171,0.074551306,0.011519966,0.29654135,0.069381273,0.148186575,0.054125997,0.036491132,0.031014754,0.123136934
ENSG00000126882,Gene,FAM78A,101927137,ENSG00000126882,InEns,2.426540287,chr9:134133463-134151934(-),-0.058642082,0.04530043,0.195760831,-0.084717189,2.95E-05,0.017549285,-0.052207518,0.003225499,0.173672976,-0.052446404,0.006382561,-0.035933915,0.007792864,-0.016332287,0.085879802
e1179967,Exon,PANX2,56666,ENSG00000073150,InEns,29.82798178,chr22:50617650-50618027(+),0.001574663,0.980814627,0.992164871,-0.134872979,2.95E-05,0.047943361,-0.137419458,2.95E-06,0.005842969,-0.13572275,0.014225862,-0.079057025,0.029469184,-0.023363125,0.43621272
er185146,ER,ALDH1A1,216,ENSG00000165092,InEns,198.8049285,chr9:75543808-75543937(*),-0.056848723,0.392330046,0.676134569,-0.254290842,2.97E-05,0.054570677,-0.244366655,1.06E-06,0.00699038,-0.264460236,1.79E-05,-0.290814889,7.10E-09,-0.173979944,0.000831915
e386330,Exon,VWA7,80737,ENSG00000204396,InEns,8.231239367,chr6:31733632-31733834(-),-0.019313268,0.774919847,0.895533342,-0.164479102,2.98E-05,0.047943361,-0.148611337,9.74E-05,0.028353228,-0.07489906,0.02650963,-0.062130235,0.041655975,-0.064655442,0.029585475
e909346,Exon,HMOX2,3163,ENSG00000103415,InEns,97.19318751,chr16:4557714-4557901(+),-0.068682056,0.042952339,0.191279076,-0.071870459,3.07E-05,0.048589011,-0.093499536,5.60E-07,0.002714257,-0.028578459,0.482081278,-0.045597193,0.024244109,-0.005453577,0.709635598
e304021,Exon,CXXC4,80319,ENSG00000168772,InEns,3.886853944,chr4:105390671-105393523(-),-0.064918612,0.136739049,0.362078538,0.113199226,3.09E-05,0.048589011,0.120912978,2.19E-06,0.005206671,0.090079923,0.03775914,0.056024651,0.034671228,0.027074366,0.220540023
e807446,Exon,MYO16,23026,ENSG00000041515,InEns,1.846503112,chr13:109661245-109661397(+),-0.012020286,0.846243207,0.931817604,0.180488225,3.10E-05,0.048589011,0.186999153,1.57E-05,0.012232524,0.075047502,0.057383299,0.069913046,0.047476193,0.024231119,0.49572927
e578033,Exon,ALDH1A1,216,ENSG00000165092,InEns,52.908559,chr9:75524518-75524675(-),-0.045999636,0.409538637,0.652188128,-0.212985767,3.12E-05,0.048589011,-0.215296092,6.27E-07,0.002859092,-0.233442235,0.000156165,-0.257149652,9.04E-07,-0.188652048,8.04E-05
e578035,Exon,ALDH1A1,216,ENSG00000165092,InEns,21.36312214,chr9:75515578-75516196(-),-0.112070475,0.14818209,0.378554977,-0.204998988,3.17E-05,0.049147195,-0.202125685,2.91E-06,0.005798838,-0.253922179,4.04E-05,-0.257712065,1.08E-07,-0.194532642,7.54E-06
er44191,ER,ACYP2,101927144,ENSG00000170634,InEns,533.3500273,chr2:54365776-54365885(*),-0.100978158,0.002567536,0.056017289,-0.112077746,3.19E-05,0.057594946,-0.127018614,4.75E-07,0.004396456,-0.046796479,0.181958469,-0.061680734,0.012772027,-0.040758888,0.127180064
e1188762,Exon,ETS2,2114,ENSG00000157557,InEns,45.50965624,chr21:40184927-40185038(+),-0.139816138,0.012206883,0.095060545,-0.147955014,3.22E-05,0.049337107,-0.163707567,2.23E-05,0.014508955,-0.067062917,0.225761121,-0.084957723,0.041834807,-0.0372533,0.241759241
e855053,Exon,GABRA5,2558,ENSG00000186297,InEns,51.44475431,chr15:27114322-27114443(+),0.006407811,0.942220334,0.975386378,0.134189697,3.34E-05,0.049362821,0.148403627,4.65E-06,0.006878571,0.126681521,0.008325255,0.101262453,0.001745435,0.117127084,0.000157363
e578026,Exon,ALDH1A1,216,ENSG00000165092,InEns,39.72450078,chr9:75543808-75543937(-),-0.052718592,0.417263369,0.658328656,-0.247138816,3.35E-05,0.049362821,-0.236082484,6.46E-07,0.002886139,-0.259839014,6.04E-06,-0.277798543,6.61E-09,-0.225927332,1.00E-06
e386313,Exon,VWA7,80737,ENSG00000204396,InEns,9.543409391,chr6:31733660-31733834(-),-0.017962071,0.795361485,0.906395216,-0.166663861,3.37E-05,0.049362821,-0.150204471,0.0001128,0.029850756,-0.082982597,0.024594483,-0.068908181,0.038598648,-0.07092683,0.028851504
er288208,ER,RPUSD1,113000,ENSG00000007376,InEns,961.2522702,chr16:834991-836519(*),0.022465411,0.625738938,0.83124366,-0.120980994,3.41E-05,0.059458502,-0.087295465,0.001475765,0.142158338,-0.171701364,0.008628736,-0.124484195,0.000687671,0.013649399,0.622740526
ENSG00000067955,Gene,CBFB,865,ENSG00000067955,InEns,4.562430385,chr16:67063019-67134961(+),0.133540037,0.012435115,0.092809356,0.090788183,3.44E-05,0.018882295,0.059530746,0.000230404,0.066906568,0.104801348,0.003495888,0.08128574,0.000144425,0.031402436,0.027175448
e457518,Exon,PEG10,23089,ENSG00000242265,InEns,89.93647488,chr7:94298046-94298492(+),0.181205982,7.10E-05,0.005566719,0.130113953,3.52E-05,0.050035224,0.111070752,0.00014532,0.033566216,0.279640671,1.16E-05,0.208403387,2.15E-06,0.097203202,0.006613715
e901159,Exon,RPUSD1,113000,ENSG00000007376,InEns,10.37135642,chr16:834974-836377(-),0.017555093,0.667737459,0.834443342,-0.106214775,3.55E-05,0.050035224,-0.099157458,2.18E-05,0.014419286,-0.087105082,0.024986707,-0.062926711,0.010902437,0.001202481,0.945385665
e901170,Exon,RPUSD1,113000,ENSG00000007376,InEns,10.49838957,chr16:834991-836377(-),0.01759132,0.667434114,0.834249442,-0.106314708,3.57E-05,0.050035224,-0.09924266,2.19E-05,0.014419286,-0.087731138,0.024455894,-0.063479075,0.010447877,0.000937283,0.957533397
e901175,Exon,RPUSD1,113000,ENSG00000007376,InEns,10.67522539,chr16:835014-836377(-),0.017613843,0.667515606,0.834318837,-0.106479908,3.57E-05,0.050035224,-0.099408351,2.19E-05,0.014419286,-0.088209698,0.02443064,-0.063762307,0.010452729,0.001044913,0.952929043
e338097,Exon,FCHO2,115548,ENSG00000157107,InEns,6.409039449,chr5:72383895-72386349(+),0.102812464,0.086288083,0.281555056,0.104074165,3.61E-05,0.050035224,0.103642356,1.74E-05,0.012886261,0.066617728,0.212645413,0.056574103,0.042608113,0.047429558,0.033661129
e338122,Exon,FCHO2,115548,ENSG00000157107,InEns,6.41165112,chr5:72383895-72386348(+),0.102817589,0.086298894,0.281572835,0.104080967,3.61E-05,0.050035224,0.103648888,1.74E-05,0.012886261,0.066617791,0.212697252,0.056568885,0.042654685,0.04741137,0.033748996
er251552,ER,LINC00507,100862680,ENSG00000256193,Novel,43.62587763,chr12:128429924-128430508(*),-0.283391902,0.015049851,0.136651561,-0.321881786,3.64E-05,0.06182876,-0.261439339,0.000234887,0.073388274,-0.293586108,0.000318272,-0.274020081,0.000154945,-0.158835354,0.025717551
e1049611,Exon,MC4R,4160,ENSG00000166603,InEns,0.842316021,chr18:58038564-58040001(-),0.119090688,0.000443904,0.015400147,0.138899429,3.67E-05,0.050120966,0.08809519,0.006298305,0.171636064,0.163969723,1.04E-06,0.136104472,5.66E-06,0.093705328,0.000643083
e581404,Exon,NXNL2,158046,ENSG00000130045,InEns,0.285694945,chr9:91150101-91150651(+),0.12119739,3.57E-07,0.000345815,0.100857108,3.67E-05,0.050120966,0.104564077,2.41E-05,0.015041186,0.031865643,0.010435972,0.037421668,0.001926796,0.03683446,0.002390063
e905130,Exon,MLST8,64223,ENSG00000167965,InEns,25.82394485,chr16:2258451-2259413(+),0.011355842,0.74613903,0.879712132,-0.082290616,3.68E-05,0.050120966,-0.090714058,4.00E-06,0.006519596,-0.107930335,0.011232196,-0.064893609,0.016048781,-0.017497534,0.398367713
ENSG00000166603,Gene,MC4R,4160,ENSG00000166603,InEns,0.842316021,chr18:58038564-58040001(-),0.119090688,0.000445005,0.011275648,0.138899429,3.68E-05,0.019306907,0.098656496,0.001161632,0.119747358,0.163969723,1.05E-06,0.136104472,5.68E-06,0.100794965,0.000347375
e1027292,Exon,SLC26A11,284129,ENSG00000181045,InEns,12.07983671,chr17:78226424-78227299(+),0.206774518,7.90E-10,8.09E-06,0.115393112,3.83E-05,0.051511488,0.126938802,7.78E-06,0.008744069,0.035486862,0.33643771,0.057135216,0.025275582,0.037567569,0.088711304
e1027324,Exon,SLC26A11,284129,ENSG00000181045,InEns,12.10747935,chr17:78226424-78227297(+),0.206810451,7.90E-10,8.09E-06,0.115413729,3.83E-05,0.051511488,0.126959549,7.79E-06,0.008744069,0.035548189,0.335886025,0.057223455,0.025116549,0.037682725,0.087890146
e581397,Exon,NXNL2,158046,ENSG00000130045,InEns,0.248326701,chr9:91150016-91150651(+),0.108703358,4.07E-07,0.000366514,0.090528902,3.90E-05,0.051730068,0.093447981,2.80E-05,0.016003001,0.028331423,0.009808912,0.033188053,0.001818194,0.032709323,0.002233177
e581399,Exon,NXNL2,158046,ENSG00000130045,InEns,0.249898389,chr9:91150020-91150651(+),0.1092172,4.07E-07,0.000366514,0.090954095,3.90E-05,0.051730068,0.093886963,2.80E-05,0.016003001,0.028488167,0.00981828,0.033374018,0.001819038,0.032893007,0.002234134
er193457,ER,FAM78A,101927137,ENSG00000126882,InEns,422.5343514,chr9:134134848-134136737(*),-0.084438839,0.099412627,0.351090025,-0.133755957,3.94E-05,0.063974916,-0.095335088,0.003119528,0.187378846,-0.153283773,0.003947656,-0.110606948,0.004003073,-0.056936449,0.074360554
e510865,Exon,TENM1,10178,ENSG00000009694,InEns,2.879213732,chrX:123509758-123515144(-),-0.025704021,0.570640251,0.772450858,0.08850506,3.98E-05,0.051730068,0.107196361,4.80E-07,0.002544561,0.090775905,0.005852022,0.075381365,0.000163272,0.04772853,0.011952921
e510833,Exon,TENM1,10178,ENSG00000009694,InEns,2.876543838,chrX:123509753-123515144(-),-0.0257039,0.570524424,0.772371234,0.088477232,3.98E-05,0.051730068,0.107162292,4.80E-07,0.002544561,0.090748712,0.005853179,0.075355216,0.000163317,0.047692056,0.011993161
ENSG00000228971,Gene,,100996635,ENSG00000228971,InEns,6.229625191,chr1:95975672-96247898(+),0.121494213,0.056364086,0.222340881,0.172763234,3.99E-05,0.019638697,0.09248334,0.007259165,0.23021515,0.120035235,0.002168751,0.086111067,0.006620878,0.030579318,0.247221881
e834361,Exon,GALNT16,57452,ENSG00000100626,InEns,19.106227,chr14:69795167-69795288(+),0.168297114,0.01233767,0.095592929,0.125911377,4.01E-05,0.051730068,0.068866831,0.020623828,0.277505634,0.061334573,0.325730681,0.097406772,0.013396007,0.052923763,0.102017733
e855054,Exon,GABRA5,2558,ENSG00000186297,InEns,50.67055462,chr15:27113862-27113940(+),0.030736531,0.747129604,0.880251252,0.145473559,4.05E-05,0.051866399,0.168304699,1.12E-06,0.003633027,0.121844938,0.017718813,0.123448146,0.00064689,0.143804881,1.55E-05
e224931,Exon,RNF123,63891,ENSG00000164068,InEns,28.18270074,chr3:49751523-49751607(+),-0.050761783,0.302306293,0.55609699,-0.102042386,4.06E-05,0.051881436,-0.117209344,7.25E-06,0.008482467,-0.087161816,0.073302363,-0.074177704,0.034962676,-0.042014019,0.197183985
ENSG00000186891,Gene,TNFRSF18,8784,ENSG00000186891,InEns,0.996153302,chr1:1138888-1142071(-),-0.067507201,0.048698938,0.204332685,-0.120369291,4.07E-05,0.019638697,-0.116594064,6.15E-05,0.036481971,-0.066167128,0.000833547,-0.043070756,0.013844679,-0.040243083,0.011058831
er112858,ER,HOMER1,9456,ENSG00000152413,InEns,179.751171,chr5:78752685-78752841(*),-0.304263323,0.001064198,0.035165434,-0.180068468,4.12E-05,0.065623074,-0.146017054,0.000857998,0.115007835,-0.018087509,0.749299052,-0.07040947,0.022271252,-0.046738,0.139634364
er194352,ER,OLFM1,10439,ENSG00000130558,AltStartEnd,4176.149638,chr9:137990132-137993944(*),-0.132960634,0.052688308,0.257363915,-0.101573651,4.18E-05,0.066219689,-0.108841113,1.53E-05,0.022708763,-0.089583462,0.030173897,-0.078240533,0.004849936,-0.008860062,0.636614539
