Supplementary Table 7. Genes in DEPICT-defined loci,,,,,,,,,
Locus,Number of genes in locus,Chromosome and position,GWAS P-value,Ensembl gene ID,Gene symbol,Nominal P-value,Gene closest to lead SNP,FDR,
rs1933264,1,chr6:153331857-153452384,5.85E-10,ENSG00000091844,RGS17,5.56E-09,TRUE,<0.01,
rs6881581,10,chr5:140710252-140998622,1.08E-10,ENSG00000240764,PCDHGC5,5.62E-09,FALSE,<0.01,
rs11124978,1,chr2:44395108-44471523,5.73E-07,ENSG00000138032,PPM1B,5.62E-09,TRUE,<0.01,
rs9649,4,chr17:33897849-34070540,6.13E-09,ENSG00000141150,RASL10B,5.68E-09,TRUE,<0.01,
rs9415068;rs11000468,6,chr10:74033678-74714536,1.41E-07,ENSG00000107745,MICU1,5.98E-09,FALSE,<0.01,
rs12054166,1,chr3:150126080-150177903,2.30E-09,ENSG00000196428,TSC22D2,6.05E-09,TRUE,<0.01,
rs7855503;rs10780614,6,chr9:86237964-86618985,2.39E-09,ENSG00000165119,HNRNPK,6.07E-09,FALSE,<0.01,
rs1865955;rs10886012;rs66688522;rs1637565,2,chr10:118430703-118886097,4.06E-11,ENSG00000165868,HSPA12A,6.14E-09,TRUE,<0.01,
rs7625428,2,chr3:56591189-56717265,1.07E-11,ENSG00000163946,FAM208A,6.48E-09,FALSE,<0.01,
rs4915735;rs2989476;rs2800059;rs1884368;rs17356748;rs80195615,1,chr1:61330931-61928465,9.56E-09,ENSG00000162599,NFIA,6.62E-09,TRUE,<0.01,
rs2396366;rs138897545,5,chr19:1905371-2015702,7.72E-08,ENSG00000133275,CSNK1G2,6.76E-09,TRUE,<0.01,
rs176218;rs72671456;rs2008001;rs72671469;rs181605407;rs117896175,1,chr14:29241910-29282493,1.10E-29,ENSG00000186960,C14orf23,6.79E-09,FALSE,<0.01,
rs2956289,1,chr12:85253492-85307394,4.61E-07,ENSG00000072041,SLC6A15,6.80E-09,TRUE,<0.01,
rs12912451,1,chr15:54305101-54920806,5.27E-06,ENSG00000137766,UNC13C,6.90E-09,TRUE,<0.01,
rs9884316,1,chr4:26859300-27027003,4.00E-06,ENSG00000109689,STIM2,6.93E-09,TRUE,<0.01,
rs112379405;rs975808;rs77152753,1,chr3:75955846-77699115,7.10E-09,ENSG00000185008,ROBO2,7.38E-09,TRUE,<0.01,
rs10937240,2,chr3:185764097-186080026,6.95E-12,ENSG00000058866,DGKG,7.46E-09,FALSE,<0.01,
rs721579;rs56319902;rs538628;rs143699161;rs11657021,14,chr17:43340488-44896082,5.81E-33,ENSG00000185829,ARL17A,7.56E-09,FALSE,<0.01,
rs72751651,9,chr1:224102741-226595780,7.54E-06,ENSG00000162923,WDR26,7.60E-09,FALSE,<0.01,
rs870589,1,chr17:31340105-32483551,2.24E-08,ENSG00000108684,ACCN1,7.68E-09,FALSE,<0.01,
rs7136760;rs56073669,1,chr12:75433857-75603648,1.39E-07,ENSG00000166006,KCNC2,7.79E-09,TRUE,<0.01,
rs7015738,1,chr8:110586207-110704020,5.46E-07,ENSG00000147642,SYBU,7.96E-09,TRUE,<0.01,
rs2545795,4,chr5:176830205-176901402,1.03E-18,ENSG00000113758,DBN1,7.97E-09,FALSE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000110697,PITPNM1,8.18E-09,FALSE,<0.01,
rs16854920,1,chr1:204797779-204991950,9.73E-08,ENSG00000163531,NFASC,8.61E-09,FALSE,<0.01,
rs34616566,2,chr4:170314426-170644824,4.20E-07,ENSG00000109572,CLCN3,8.73E-09,FALSE,<0.01,
rs35104491;rs1206133;rs76218411;rs118009134,3,chr6:97245888-97588630,6.81E-12,ENSG00000112218,GPR63,8.84E-09,FALSE,<0.01,
rs72637439,1,chr13:97873688-98046374,6.04E-06,ENSG00000139793,MBNL2,8.88E-09,TRUE,<0.01,
rs12765185,2,chr10:134884433-135039916,2.96E-08,ENSG00000171798,KNDC1,8.94E-09,TRUE,<0.01,
rs933738,7,chr12:49760367-50158717,2.08E-09,ENSG00000135519,KCNH3,9.02E-09,TRUE,<0.01,
rs12967010;rs7235785,2,chr18:9475007-9614567,1.33E-11,ENSG00000017797,RALBP1,9.17E-09,TRUE,<0.01,
rs2838006;rs9974899;rs66482320;rs2836213;rs73366468;rs228081;rs9982370;rs73222273,12,chr21:38437942-45746674,1.38E-19,ENSG00000171587,DSCAM,9.31E-09,TRUE,<0.01,
rs11588857;rs884108,4,chr1:204391756-204654861,4.45E-31,ENSG00000170382,LRRN2,9.32E-09,FALSE,<0.01,
rs7422060;rs56185973,1,chr2:207139387-207179148,9.42E-07,ENSG00000204186,ZDBF2,9.49E-09,FALSE,<0.01,
rs2731034,2,chr12:44902058-45459134,8.43E-07,ENSG00000184613,NELL2,9.54E-09,FALSE,<0.01,
rs77025239;rs115732722;rs2718789;rs6443703;rs4134231;rs114600294;rs4855042;rs10937063,5,chr3:180320646-181508734,4.65E-13,ENSG00000181449,SOX2,1.01E-08,TRUE,<0.01,
rs9929762,1,chr16:78133551-79246031,1.03E-11,ENSG00000186153,WWOX,1.05E-08,TRUE,<0.01,
rs114593137;rs628720;rs6690901,3,chr1:241753404-241965435,1.65E-12,ENSG00000203668,CHML,1.06E-08,TRUE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000179837,RBM15B,1.07E-08,TRUE,<0.01,
rs66721975,1,chr2:191745553-191830278,1.51E-08,ENSG00000115419,GLS,1.09E-08,TRUE,<0.01,
rs56047669,1,chr16:57126506-57181878,5.98E-06,ENSG00000140848,CPNE2,1.12E-08,TRUE,<0.01,
rs363096;rs362307;rs4690081;rs6853599;rs6824567;rs116069820,12,chr4:2794750-3451211,5.77E-24,ENSG00000197386,HTT,1.18E-08,FALSE,<0.01,
rs6121037,11,chr20:34042985-34547394,1.32E-07,ENSG00000131051,RBM39,1.24E-08,TRUE,<0.01,
rs2179508,4,chr6:145822719-146758734,7.95E-07,ENSG00000146414,SHPRH,1.25E-08,FALSE,<0.01,
rs11780023;rs2977464,2,chr8:141541264-142012315,1.17E-09,ENSG00000123908,EIF2C2,1.30E-08,FALSE,<0.01,
rs854796;rs113269212,17,chr17:17750139-18639432,4.66E-09,ENSG00000131899,LLGL1,1.33E-08,FALSE,<0.01,
rs4846010;rs34552305,1,chr1:11539223-11597641,3.35E-08,ENSG00000204624,PTCHD2,1.33E-08,TRUE,<0.01,
rs7312585;rs4765015,1,chr12:124403207-124457378,5.25E-07,ENSG00000119242,CCDC92,1.36E-08,TRUE,<0.01,
rs11876620;rs613872;rs2958182;rs10401120;rs7240100;rs78857663;rs74609952;rs627685;rs7237464,1,chr18:52889562-53303185,1.95E-18,ENSG00000196628,TCF4,1.38E-08,TRUE,<0.01,
rs11926624;rs12107377,1,chr3:191859684-192485553,3.60E-06,ENSG00000114279,FGF12,1.40E-08,TRUE,<0.01,
rs4788115;rs4788080;rs4788106;rs240708,15,chr16:28477983-29002104,1.23E-28,ENSG00000178188,SH2B1,1.43E-08,FALSE,<0.01,
rs11624425,2,chr14:74111578-74256988,9.66E-06,ENSG00000119661,DNAL1,1.44E-08,FALSE,<0.01,
rs12909095,7,chr15:43524793-43802926,1.86E-06,ENSG00000067369,TP53BP1,1.44E-08,FALSE,<0.01,
rs10819960,4,chr9:104235453-104500862,1.18E-07,ENSG00000165152,C9orf125,1.52E-08,FALSE,<0.01,
rs139612798;rs9388304;rs113041470;rs7747596,1,chr6:124125286-125146803,3.10E-07,ENSG00000188580,NKAIN2,1.55E-08,TRUE,<0.01,
rs660001;rs2974535;rs111327916;rs3104222;rs73260443;rs6860867,2,chr5:113696666-113915667,1.66E-21,ENSG00000080709,KCNN2,1.64E-08,TRUE,<0.01,
rs9551887,2,chr13:30776767-30894040,9.75E-07,ENSG00000102781,KATNAL1,1.67E-08,TRUE,<0.01,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000198911,SREBF2,1.74E-08,FALSE,<0.01,
rs2706762;rs3796097,7,chr2:70187226-70508323,6.67E-07,ENSG00000169564,PCBP1,1.74E-08,FALSE,<0.01,
rs6060001,12,chr20:32951041-33680674,7.47E-07,ENSG00000125971,DYNLRB1,1.76E-08,FALSE,<0.01,
rs7575938,1,chr2:166845670-166930149,1.13E-09,ENSG00000144285,SCN1A,1.81E-08,TRUE,<0.01,
rs2926702;rs57994514,2,chr8:71021997-71316040,4.91E-09,ENSG00000140396,NCOA2,1.84E-08,FALSE,<0.01,
rs5754753;rs5754762;rs5754581;rs73154546;rs2001040;rs239320,2,chr22:33561991-34318829,6.15E-16,ENSG00000133424,LARGE,1.89E-08,TRUE,<0.01,
rs72993796;rs6706275,1,chr2:239969864-240323348,1.12E-08,ENSG00000068024,HDAC4,1.94E-08,FALSE,<0.01,
rs117533546,1,chr9:124329336-124547809,1.62E-06,ENSG00000136848,DAB2IP,2.02E-08,TRUE,<0.01,
rs17732878,6,chr17:7328935-7417933,4.06E-08,ENSG00000161958,FGF11,2.06E-08,FALSE,<0.01,
rs145054300;rs77675579,19,chr11:46299212-47357945,7.18E-08,ENSG00000175224,ATG13,2.10E-08,FALSE,<0.01,
rs12446456,4,chr16:4846969-4987136,7.96E-06,ENSG00000118900,UBN1,2.14E-08,TRUE,<0.01,
rs10080647;rs13192403;rs6912671,2,chr6:114290865-114792869,7.05E-10,ENSG00000249853,HS3ST5,2.15E-08,TRUE,<0.01,
rs11687736;rs13016316;rs12613725,1,chr2:225334867-225450110,4.66E-12,ENSG00000036257,CUL3,2.24E-08,TRUE,<0.01,
rs1401636,1,chr2:222282747-222438922,2.71E-06,ENSG00000116106,EPHA4,2.29E-08,TRUE,<0.01,
rs173003,11,chr19:36139125-36279724,5.50E-09,ENSG00000105663,-,2.30E-08,FALSE,<0.01,
rs11138947,2,chr9:72043164-72287222,2.36E-11,ENSG00000107282,APBA1,2.30E-08,FALSE,<0.01,
rs72634813,2,chr1:1533392-1565990,8.85E-06,ENSG00000228594,-,2.30E-08,TRUE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000172932,ANKRD13D,2.33E-08,FALSE,<0.01,
rs45540434,2,chr9:139889087-139923374,9.98E-07,ENSG00000107331,ABCA2,2.35E-08,FALSE,<0.01,
rs728054;rs322349;rs10253968,3,chr7:136912088-137531838,2.34E-18,ENSG00000105894,PTN,2.38E-08,TRUE,<0.01,
rs482787,1,chr10:99624757-99790585,1.95E-11,ENSG00000095713,CRTAC1,2.40E-08,TRUE,<0.01,
rs1671770;rs1718188;rs10774563;rs113473640,18,chr12:120881764-121623876,9.05E-12,ENSG00000111786,SRSF9,2.40E-08,FALSE,<0.01,
rs854796;rs113269212,17,chr17:17750139-18639432,4.66E-09,ENSG00000175662,TOM1L2,2.46E-08,FALSE,<0.01,
rs1481034,1,chr18:8706513-8832776,1.50E-07,ENSG00000168502,CCDC165,2.53E-08,TRUE,<0.01,
rs35788;rs11001973;rs7916611,1,chr10:78637355-79398353,1.03E-06,ENSG00000156113,KCNMA1,2.71E-08,TRUE,<0.01,
rs1918394;rs4416418,2,chr3:74311719-75484261,3.04E-10,ENSG00000113805,CNTN3,2.74E-08,TRUE,<0.01,
rs9926649;rs8061964;rs3785092,17,chr16:66460816-66978999,1.58E-08,ENSG00000223154,-,2.74E-08,FALSE,<0.01,
rs79728014,1,chr11:45950871-46142985,2.06E-11,ENSG00000135365,PHF21A,2.75E-08,TRUE,<0.01,
rs61894507,3,chr11:76092357-76264069,6.48E-07,ENSG00000158636,C11orf30,2.78E-08,TRUE,<0.01,
rs198700,1,chr7:24323782-24331484,4.08E-07,ENSG00000122585,NPY,2.79E-08,TRUE,<0.01,
rs209857,1,chr1:114631914-114696541,4.32E-06,ENSG00000134207,SYT6,2.80E-08,TRUE,<0.01,
rs7815299,1,chr8:91070836-91107703,4.01E-07,ENSG00000104327,CALB1,2.84E-08,TRUE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000068745,IP6K2,2.88E-08,TRUE,<0.01,
rs9927137,11,chr16:30583571-30905623,5.11E-09,ENSG00000103549,RNF40,2.89E-08,FALSE,<0.01,
rs151257075;rs16837272,17,chr1:156182773-156647189,7.96E-06,ENSG00000132692,BCAN,2.96E-08,FALSE,<0.01,
rs17507342,1,chr3:147111209-147228080,8.51E-07,ENSG00000152977,ZIC1,3.00E-08,TRUE,<0.01,
rs9926649;rs8061964;rs3785092,17,chr16:66460816-66978999,1.58E-08,ENSG00000183723,CMTM4,3.03E-08,TRUE,<0.01,
rs8052523,1,chr16:9185475-9215497,2.73E-09,ENSG00000182831,C16orf72,3.19E-08,TRUE,<0.01,
rs7008697;rs2127865;rs12677468,1,chr8:106330920-106816760,9.93E-08,ENSG00000169946,ZFPM2,3.21E-08,TRUE,<0.01,
rs10006551,1,chr4:105389469-105416058,1.61E-06,ENSG00000168772,CXXC4,3.27E-08,TRUE,<0.01,
rs6060001,12,chr20:32951041-33680674,7.47E-07,ENSG00000078747,ITCH,3.28E-08,FALSE,<0.01,
rs17243165,4,chr5:43039335-43280952,8.03E-07,ENSG00000172262,ZNF131,3.29E-08,FALSE,<0.01,
rs302354,1,chr12:29653757-29937692,3.46E-06,ENSG00000133687,TMTC1,3.34E-08,TRUE,<0.01,
rs1167827,2,chr7:75132254-75368280,2.93E-13,ENSG00000127946,HIP1,3.45E-08,FALSE,<0.01,
rs73101171;rs2313275;rs9849884;rs6778273;rs2221845;rs12635949,2,chr3:68053359-68981761,2.51E-10,ENSG00000183662,FAM19A1,3.45E-08,TRUE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000174791,RIN1,3.49E-08,TRUE,<0.01,
rs72672718,1,chr4:95679119-96079599,8.98E-07,ENSG00000138696,BMPR1B,3.57E-08,TRUE,<0.01,
rs15739,8,chr17:15848231-16256813,6.08E-07,ENSG00000011295,TTC19,3.63E-08,FALSE,<0.01,
rs575113;rs12119154,9,chr1:109852192-110155679,7.52E-18,ENSG00000134243,SORT1,3.66E-08,FALSE,<0.01,
rs61040326,1,chr8:89044237-89340254,2.49E-07,ENSG00000156103,MMP16,3.67E-08,TRUE,<0.01,
rs1334297;rs9537779;rs17190418;rs9527662;rs142747148;rs4886055;rs2321157;rs61958175;rs113720505;rs77370942;rs17572277;rs73207502;rs12429017;rs61955962;rs12869090;rs139544582;rs117795709;rs78645356;rs7333790;rs1581832;rs77086982,1,chr13:58205944-58303445,2.53E-58,ENSG00000118946,PCDH17,3.68E-08,TRUE,<0.01,
rs34720381;rs6681173,2,chr1:171454651-171621857,1.90E-13,ENSG00000117523,PRRC2C,3.73E-08,TRUE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000173020,ADRBK1,3.82E-08,FALSE,<0.01,
rs1187326,1,chr9:87283466-87638505,5.60E-08,ENSG00000148053,NTRK2,3.85E-08,TRUE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000197136,PCNXL3,3.88E-08,FALSE,<0.01,
rs12891042;rs8016504;rs1955512,2,chr14:32798479-34273382,1.02E-10,ENSG00000151322,NPAS3,3.88E-08,TRUE,<0.01,
rs743316;rs61739710;rs2834287,8,chr21:34757299-35272165,8.21E-11,ENSG00000159140,SON,3.93E-08,FALSE,<0.01,
rs12065238,1,chr1:166026674-166136206,5.72E-08,ENSG00000188859,FAM78B,3.98E-08,TRUE,<0.01,
rs73007975;rs79894062,5,chr11:113558272-113861035,1.92E-07,ENSG00000166736,HTR3A,3.98E-08,TRUE,<0.01,
rs730384;rs7154563,9,chr14:74872596-75370448,9.38E-13,ENSG00000119682,KIAA0317,4.00E-08,FALSE,<0.01,
rs11971332;rs10951590;rs13246220;rs113205706;rs10268735;rs35787907;rs78118326;rs886765,8,chr7:39017598-40900362,3.62E-13,ENSG00000006451,RALA,4.03E-08,FALSE,<0.01,
rs7236774;rs28626906,1,chr18:46065417-46389588,5.93E-07,ENSG00000134030,CTIF,4.23E-08,FALSE,<0.01,
rs4467547;rs9291436;rs75580530;rs62301577,1,chr4:20730239-21950422,4.88E-17,ENSG00000185774,KCNIP4,4.34E-08,TRUE,<0.01,
rs11971332;rs10951590;rs13246220;rs113205706;rs10268735;rs35787907;rs78118326;rs886765,8,chr7:39017598-40900362,3.62E-13,ENSG00000106536,POU6F2,4.42E-08,TRUE,<0.01,
rs72906124;rs6720515;rs1554798;rs10164555;rs9288534;rs150844709;rs1400700;rs56226421;rs6742745,1,chr2:157180944-157198860,6.44E-10,ENSG00000153234,NR4A2,4.45E-08,TRUE,<0.01,
rs4434676;rs6560155;rs138175676,2,chr9:72999503-74061820,2.83E-10,ENSG00000119138,KLF9,4.52E-08,TRUE,<0.01,
rs12145078;rs1747817,2,chr1:197170592-197744826,2.56E-13,ENSG00000134376,CRB1,4.52E-08,FALSE,<0.01,
rs9818694;rs1915579,2,chr3:153742190-153975616,5.96E-06,ENSG00000114790,ARHGEF26,4.68E-08,TRUE,<0.01,
rs2729762;rs35346988;rs4638330,7,chr11:76839310-77705724,3.03E-07,ENSG00000048649,RSF1,4.68E-08,FALSE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000067560,RHOA,4.75E-08,FALSE,<0.01,
rs56139009;rs7916697,9,chr10:69865912-70454239,2.21E-06,ENSG00000204130,RUFY2,4.89E-08,FALSE,<0.01,
rs7016302;rs73191311;rs73175381;rs77500513,1,chr8:2792992-4852494,2.26E-11,ENSG00000183117,CSMD1,4.98E-08,TRUE,<0.01,
rs13381557;rs60225156;rs2668767;rs76952457,6,chr18:44259081-44702745,7.40E-10,ENSG00000078043,PIAS2,5.02E-08,FALSE,<0.01,
rs2406253;rs10241492;rs4134932,17,chr7:99699172-100092422,3.58E-14,ENSG00000106290,TAF6,5.16E-08,FALSE,<0.01,
rs4984613;rs8032157,10,chr15:64199235-65067786,7.76E-10,ENSG00000180357,ZNF609,5.33E-08,FALSE,<0.01,
rs61748951,28,chr1:155158300-156182587,1.31E-08,ENSG00000176444,CLK2,5.35E-08,FALSE,<0.01,
rs575113;rs12119154,9,chr1:109852192-110155679,7.52E-18,ENSG00000181754,AMIGO1,5.39E-08,TRUE,<0.01,
rs12076635;rs112361411;rs2428954;rs45605334;rs145155829;rs1198982;rs61768375;rs1362153;rs1999595;rs150833155,25,chr1:43629846-44497139,3.33E-34,ENSG00000117408,IPO13,5.40E-08,FALSE,<0.01,
rs17732878,6,chr17:7328935-7417933,4.06E-08,ENSG00000181222,POLR2A,5.64E-08,FALSE,<0.01,
rs78702390;rs7803932;rs188799913;rs2158507;rs6460661;rs75527694,3,chr7:69061133-71178585,1.74E-11,ENSG00000158321,AUTS2,5.79E-08,TRUE,<0.01,
rs113520408;rs339057;rs4440553,2,chr7:128379346-128415844,1.03E-22,ENSG00000128617,OPN1SW,5.81E-08,TRUE,<0.01,
rs2948063;rs7518528,1,chr1:240931554-241520530,3.41E-06,ENSG00000182901,RGS7,5.82E-08,TRUE,<0.01,
rs6428152,5,chr1:192984889-193223031,5.23E-06,ENSG00000134371,CDC73,5.91E-08,FALSE,<0.01,
rs7692359,1,chr4:83273651-83295656,1.40E-10,ENSG00000138668,HNRNPD,6.02E-08,TRUE,<0.01,
rs3848715,3,chr20:44527399-44600833,1.07E-08,ENSG00000198026,ZNF335,6.02E-08,FALSE,<0.01,
rs806816;rs3006641,2,chr10:32094365-32345359,4.80E-10,ENSG00000165322,ARHGAP12,6.23E-08,FALSE,<0.01,
rs34780702;rs138818038,1,chr1:197881618-197904608,2.05E-11,ENSG00000143355,LHX9,6.33E-08,TRUE,<0.01,
rs77609760;rs74787922;rs7597412;rs10181071;rs10178963;rs16845783;rs9973397;rs74736827,1,chr2:140988992-142889270,7.71E-17,ENSG00000168702,LRP1B,6.47E-08,TRUE,<0.01,
rs2702576,2,chr4:14911585-15071777,4.41E-10,ENSG00000137449,CPEB2,6.48E-08,TRUE,<0.01,
rs1107871,2,chr12:132195626-132284282,4.18E-09,ENSG00000061936,SFSWAP,6.57E-08,FALSE,<0.01,
rs61748951,28,chr1:155158300-156182587,1.31E-08,ENSG00000163374,YY1AP1,6.67E-08,FALSE,<0.01,
rs76246107,9,chr19:49977486-50161905,6.52E-10,ENSG00000126464,PRR12,6.67E-08,FALSE,<0.01,
rs12537600,1,chr7:18126572-19036993,2.81E-07,ENSG00000048052,HDAC9,6.71E-08,TRUE,<0.01,
rs1815532;rs8013401;rs12590545;rs61989562,7,chr14:66953072-67878917,8.01E-08,ENSG00000100554,ATP6V1D,6.78E-08,FALSE,<0.01,
rs3111251;rs78365243,8,chr1:211431719-212208884,3.88E-10,ENSG00000117625,RCOR3,6.80E-08,TRUE,<0.01,
rs2486550;rs12764593;rs790647;rs11599236;rs7096926;rs12251993;rs72813622;rs35978090;rs10509790;rs10509774;rs117245496;rs139138491;rs6584608;rs72819942;rs72819955;rs876183;rs11595206;rs72827747;rs75001605,5,chr10:106113522-107262113,3.81E-18,ENSG00000156395,SORCS3,6.80E-08,FALSE,<0.01,
rs12375949;rs2416845;rs76377664,2,chr9:124584207-124855885,1.61E-22,ENSG00000175764,TTLL11,6.86E-08,FALSE,<0.01,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000100417,PMM1,6.90E-08,FALSE,<0.01,
rs9545395;rs936496;rs185989636;rs17811799,3,chr13:35516424-36705467,3.81E-11,ENSG00000180660,MAB21L1,7.09E-08,TRUE,<0.01,
rs139244147;rs12113634;rs187701119,3,chr7:111846643-112121072,7.71E-11,ENSG00000006652,IFRD1,7.14E-08,TRUE,<0.01,
rs2044162;rs7014169;rs1443081,2,chr8:33405273-33457624,1.06E-07,ENSG00000133878,DUSP26,7.76E-08,TRUE,<0.01,
rs144908022,19,chr11:64590859-64902004,4.21E-06,ENSG00000068971,PPP2R5B,7.88E-08,FALSE,<0.01,
rs4810894;rs141979783,6,chr20:47538275-47905797,4.38E-09,ENSG00000124214,STAU1,7.94E-08,TRUE,<0.01,
rs11774212,10,chr8:145674965-145911194,1.40E-19,ENSG00000147799,ARHGAP39,8.02E-08,FALSE,<0.01,
rs73040059,2,chr3:23236561-23633284,1.23E-07,ENSG00000182247,UBE2E2,8.05E-08,FALSE,<0.01,
rs4328757,1,chr3:36868311-36986548,2.95E-11,ENSG00000168016,TRANK1,8.48E-08,TRUE,<0.01,
rs2517086,1,chr8:17013538-17082308,8.00E-10,ENSG00000104219,ZDHHC2,8.65E-08,TRUE,<0.01,
rs1880088;rs10766744,1,chr11:20691117-21597227,1.11E-09,ENSG00000165973,NELL1,8.66E-08,FALSE,<0.01,
rs11175258,1,chr12:64238073-64541613,4.22E-07,ENSG00000196935,SRGAP1,8.75E-08,FALSE,<0.01,
rs1773020,2,chr1:33938232-34631443,7.15E-06,ENSG00000121904,CSMD2,8.85E-08,FALSE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000258297,-,9.02E-08,FALSE,<0.01,
rs151257075;rs16837272,17,chr1:156182773-156647189,7.96E-06,ENSG00000198952,SMG5,9.80E-08,TRUE,<0.01,
rs11753095,1,chr6:170477741-170478251,5.00E-06,ENSG00000232197,-,1.02E-07,TRUE,<0.01,
rs67790232;rs10880872,2,chr12:46123448-46385903,6.90E-09,ENSG00000189079,ARID2,1.03E-07,TRUE,<0.01,
rs12515392,1,chr5:7396321-7830194,1.55E-07,ENSG00000078295,ADCY2,1.06E-07,TRUE,<0.01,
rs2431023;rs3816752;rs1529597,3,chr15:56922379-57599965,5.76E-11,ENSG00000140262,TCF12,1.06E-07,TRUE,<0.01,
rs1901018;rs150821390;rs72855101;rs7583892;rs150991676;rs7595461,3,chr2:23608088-24227779,3.22E-07,ENSG00000119771,KLHL29,1.06E-07,TRUE,<0.01,
rs12005151;rs4962167,1,chr9:135037334-135119921,3.73E-09,ENSG00000196358,NTNG2,1.06E-07,TRUE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000175602,CCDC85B,1.06E-07,TRUE,<0.01,
rs35192107,4,chr5:145316142-145718814,3.77E-08,ENSG00000091009,RBM27,1.07E-07,FALSE,<0.01,
