symbol,Ensembl gene id,colon,kidney,liver,pancreas,lung,prostate,brain,stomach,spleen,lymph node,appendix,small intestine,adrenal gland,duodenum,adipose tissue,endometrium,placenta,testis,gall bladder,urinary bladder,thyroid gland,esophagus,heart,skin,ovary,bone marrow,salivary gland,Category
NICN1,ENSG00000145029,5.46,12.17,5.32,4.74,14.98,13.73,18.09,10.05,16.4,13.34,9.05,8.93,9.72,7.67,11.54,15.75,7.68,16.4,11.84,9.79,19.13,8.05,11.68,13.01,14.24,5.55,10.33,Expressed in all low
NCF4,ENSG00000100365,11.32,1.6,4.44,1.67,18.87,2.82,2.57,9.49,43.33,42.57,45.72,16.4,9.99,11.64,5.32,3.85,29.03,3.3,19.05,27.75,2.14,7.34,4.18,3.32,2.12,119.65,4.99,Expressed in all low
ELP2,ENSG00000134759,22.62,23.24,32.15,17.21,27.06,37.89,22.07,24.84,29.63,33.73,27.52,21.78,30.08,21.48,27.37,41.07,28.76,34.25,28.86,32.51,33.42,22.94,27.17,35.94,56.68,32.7,24.18,Expressed in all high
LGALS1,ENSG00000100097,116.93,51.22,102.39,43.86,305.45,315.15,103.02,98.62,155.2,116.34,329.02,158.99,249.48,135.45,709.45,808.48,348.39,176.79,352.9,377.68,63.87,213.35,497.28,109.51,629.91,141.79,188.16,Expressed in all high
CCNB2,ENSG00000157456,12.22,0.88,1.12,0.28,1.41,1.92,0.66,6.21,4.12,30.53,13.2,10.84,0.47,12.2,1.59,3.96,14.14,61.84,1.77,6.24,1.23,8.68,0.28,8.37,0.19,44.35,0.81,Mixed high
LOC105378242,ENSG00000219492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not detected
TMED9,ENSG00000184840,100.7,70.74,80.22,87.09,91.33,106.53,48.18,110.34,82.98,88.47,110.78,73.26,75.47,69.59,52.36,90.01,178.09,62.81,86.74,113.41,117.12,85.28,75.34,69.19,63.04,70.2,156.75,Expressed in all high
SPINK9,ENSG00000204909,0.0,0.1,0.0,0.31,0.0,0.0,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not detected
WAPL,ENSG00000062650,19.02,17.77,15.91,7.62,16.74,13.78,11.34,17.13,18.1,25.17,20.1,15.66,15.02,14.3,11.68,15.44,16.17,36.64,15.59,16.04,19.55,17.08,8.54,17.71,13.42,19.04,9.62,Expressed in all low
ACER2,ENSG00000177076,5.73,2.55,1.95,3.07,1.96,3.46,1.68,59.58,1.42,0.81,1.09,2.61,1.58,4.5,6.34,1.53,7.95,2.0,2.09,35.52,2.59,2.73,1.88,4.33,1.03,0.34,1.24,Group enriched
CHAF1A,ENSG00000167670,8.76,3.49,2.37,1.78,4.27,8.58,3.2,6.76,6.17,12.58,8.9,5.15,3.05,4.8,7.14,3.65,7.13,14.01,2.48,4.93,2.68,6.02,2.65,9.61,3.33,17.79,3.42,Expressed in all low
SEC14L1,ENSG00000129657,20.92,40.42,20.49,14.75,50.29,15.79,32.47,29.2,54.26,44.37,48.69,18.2,49.4,18.85,57.71,29.68,67.11,61.73,37.92,33.11,46.03,31.83,25.11,11.78,18.62,42.26,26.63,Expressed in all high
FBXO6,ENSG00000116663,5.1,4.89,6.46,5.44,8.89,6.54,2.95,6.83,10.49,13.86,9.49,5.83,6.07,9.95,4.31,5.38,2.6,7.3,7.89,8.53,4.62,7.23,5.43,4.89,5.21,8.23,8.69,Expressed in all low
MCOLN2,ENSG00000153898,12.6,0.79,0.79,0.32,5.04,2.11,0.28,3.4,9.16,22.26,9.91,2.13,10.39,2.01,0.54,0.72,2.93,2.06,2.79,3.45,0.82,1.72,0.25,4.24,0.93,3.91,1.69,Mixed high
FAM25G,ENSG00000189090,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,3.45,0.0,0.0,0.0,0.0,0.14,4.01,0.0,0.0,0.0,10.99,0.0,67.67,0.0,0.38,0.0,Moderately tissue enriched
ANKRD17,ENSG00000132466,19.39,19.55,14.52,10.17,13.33,15.65,19.95,16.34,15.04,16.28,15.87,15.15,14.88,14.44,11.43,15.35,16.72,13.53,15.2,16.3,18.84,16.31,11.66,17.3,17.11,7.72,13.27,Expressed in all low
KRT13,ENSG00000171401,0.05,0.15,1.46,0.21,0.78,14.56,0.12,0.58,0.12,0.24,0.12,0.26,0.06,0.15,0.67,2.67,0.06,5.44,2.13,412.79,0.31,9929.15,6.94,0.97,0.2,4.89,0.37,Moderately tissue enriched
PADI3,ENSG00000142619,0.04,0.07,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.13,0.01,0.02,0.25,0.23,18.28,0.0,5.58,0.0,0.48,0.0,0.04,0.1,Group enriched
RASSF4,ENSG00000107551,18.05,43.67,10.79,23.78,24.04,9.23,71.15,9.58,50.24,52.51,62.18,32.41,18.37,36.87,58.91,7.81,29.13,16.82,32.76,28.7,49.05,11.18,52.94,6.76,4.45,8.52,33.48,Expressed in all low
HMOX2,ENSG00000103415,32.05,45.34,47.61,22.62,31.89,24.67,51.26,48.95,34.27,41.32,29.96,30.88,31.01,37.28,28.6,22.03,22.36,105.39,36.76,31.05,28.33,58.05,54.77,26.03,21.63,14.97,23.0,Expressed in all high
PLEKHG2,ENSG00000090924,6.0,6.42,2.72,3.18,14.6,12.28,4.08,8.83,22.64,18.89,23.02,8.49,6.93,7.54,15.91,28.49,24.79,12.57,23.24,12.5,8.68,7.76,10.47,3.84,9.82,12.55,4.19,Expressed in all low
,ENSG00000215020,0.03,0.01,0.44,0.03,3.94,0.46,0.03,0.13,0.04,0.0,0.02,0.08,0.01,0.0,0.04,0.01,1.71,0.15,0.09,2.77,0.01,2.11,0.07,11.75,0.09,0.01,0.15,Mixed high
STAG2,ENSG00000101972,33.27,33.61,18.51,16.73,33.02,30.66,30.44,31.04,33.52,60.38,36.58,26.09,24.22,23.85,24.97,48.04,33.89,9.81,66.17,52.85,115.05,51.34,20.7,31.53,46.03,56.51,22.83,Expressed in all low
KRT71,ENSG00000139648,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.01,0.02,0.0,0.0,0.0,0.0,0.04,0.03,0.05,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Not detected
OLAH,ENSG00000152463,0.1,0.5,0.0,0.0,0.67,0.07,0.11,0.18,0.41,0.21,0.32,0.14,1.17,0.0,0.32,0.03,5.71,20.68,0.42,0.05,0.45,0.42,0.0,0.21,0.09,0.32,2.0,Group enriched
HRCT1,ENSG00000196196,15.86,1.62,0.69,0.23,4.45,4.04,0.44,1.32,0.42,0.4,1.6,6.3,1.11,5.71,20.56,1.14,2.48,1.54,0.27,1.27,0.81,1.24,1.54,0.71,1.24,0.0,1.36,Mixed high
ATP5MC1,ENSG00000159199,235.32,196.02,128.0,41.68,63.93,99.66,126.51,143.12,65.19,91.54,102.91,170.44,113.5,194.61,61.68,71.96,81.18,39.25,58.48,90.5,121.73,128.52,453.12,89.19,67.06,73.24,93.25,Expressed in all high
FBXO11,ENSG00000138081,26.84,24.39,20.52,11.74,27.93,25.71,38.64,24.95,30.7,35.98,31.58,22.64,28.25,21.21,32.97,40.96,22.73,48.93,29.68,28.29,29.97,24.8,20.24,26.0,36.69,32.75,15.68,Expressed in all high
DNAH3,ENSG00000158486,2.46,0.26,0.06,0.0,1.72,0.17,0.03,0.4,0.12,0.15,0.31,1.58,0.0,1.52,0.11,0.37,0.46,4.29,0.18,0.39,0.02,0.4,0.25,2.03,0.01,0.01,0.0,Mixed low
NFATC2,ENSG00000101096,5.48,1.26,4.41,3.64,4.94,1.78,1.41,10.06,11.65,15.55,7.37,5.35,2.15,6.95,1.93,3.27,6.96,1.83,17.29,4.33,3.44,3.84,1.94,3.34,1.93,2.99,3.62,Expressed in all low
MAPK8,ENSG00000107643,18.64,22.44,16.34,10.55,14.18,16.74,27.81,18.26,12.38,17.53,17.78,25.31,15.05,22.09,11.52,25.51,14.61,33.57,24.65,22.54,36.41,24.76,15.2,11.45,22.69,16.84,18.5,Expressed in all high
S100A5,ENSG00000196420,0.02,0.38,0.0,0.0,0.19,0.0,0.1,0.61,0.22,0.5,0.0,0.13,0.13,0.44,0.0,0.0,0.1,0.02,0.1,0.17,2.36,0.14,0.08,0.1,0.0,0.23,0.12,Mixed low
KPNA5,ENSG00000196911,2.94,4.83,1.51,1.23,6.49,7.84,10.26,3.73,6.93,9.47,5.97,3.19,6.56,2.46,4.22,9.09,3.24,39.36,5.85,5.24,10.88,4.82,3.51,3.93,17.09,3.0,3.47,Expressed in all low
SFTPC,ENSG00000168484,0.26,0.39,0.0,0.0,8409.07,12.13,4.92,6.86,13.94,0.11,11.81,0.0,26.93,0.0,0.77,0.0,6.11,4.34,0.08,0.23,8.76,4.12,0.33,5.47,0.0,0.0,0.0,Highly tissue enriched
AKAP8,ENSG00000105127,10.57,9.89,5.55,5.35,11.71,11.77,6.23,10.6,15.13,16.1,13.45,11.49,9.33,11.79,9.91,13.86,12.68,9.84,10.06,10.57,10.41,8.82,7.24,12.92,13.4,22.3,9.05,Expressed in all low
UBE4A,ENSG00000110344,17.21,15.75,14.17,9.47,15.61,14.93,20.89,20.79,16.67,18.79,19.65,17.38,11.89,16.3,14.01,16.58,13.12,17.99,15.9,15.97,18.21,14.88,14.19,15.06,16.01,8.98,10.78,Expressed in all low
LCE4A,ENSG00000187170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,Moderately tissue enriched
LETMD1,ENSG00000050426,37.37,41.84,26.69,30.33,39.54,37.46,35.71,49.08,43.36,51.86,38.5,52.82,48.0,71.34,55.51,45.18,30.78,28.54,42.64,45.3,86.33,29.85,23.31,55.42,73.33,30.76,42.49,Expressed in all high
IL21,ENSG00000138684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,6.12,0.69,0.06,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.07,Moderately tissue enriched
PYCR1,ENSG00000183010,23.01,2.5,2.35,57.61,5.55,31.61,7.48,44.65,1.93,6.93,13.8,12.04,2.01,12.86,2.55,15.36,14.71,12.11,8.88,15.03,10.87,8.76,5.8,3.95,2.44,8.15,93.99,Expressed in all low
ADH1B,ENSG00000196616,114.41,70.42,2296.2,16.39,267.25,13.05,0.69,39.4,80.67,30.16,39.79,70.49,149.43,38.17,1160.67,83.88,5.65,2.53,170.55,92.42,11.78,101.05,109.57,26.78,68.91,0.03,49.56,Group enriched
CLEC12A,ENSG00000172322,2.22,0.43,3.06,0.38,12.42,0.78,0.14,2.2,16.11,6.38,15.73,4.17,2.66,1.1,0.53,1.94,2.15,0.81,5.33,4.89,0.99,1.37,1.01,0.86,0.62,50.92,0.44,Mixed high
VN1R2,ENSG00000196131,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.0,0.01,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Not detected
ST6GALNAC5,ENSG00000117069,1.61,0.15,0.02,0.24,12.73,2.56,9.71,1.21,0.53,1.11,4.68,1.33,8.51,0.88,0.17,0.4,0.65,1.12,7.93,3.79,0.04,2.33,0.72,0.17,4.64,0.0,0.51,Mixed high
MYOT,ENSG00000120729,5.34,1.03,0.56,0.67,0.47,36.68,3.56,2.36,1.03,0.52,4.24,4.22,5.24,3.03,1.51,0.4,0.15,0.67,2.23,4.03,0.89,39.56,20.04,0.46,0.8,0.08,2.24,Group enriched
PPT2,ENSG00000221988,8.52,17.01,6.66,5.64,9.97,12.1,12.58,13.15,9.12,5.61,7.19,7.99,12.29,9.67,11.52,16.48,22.45,7.88,12.57,10.21,5.89,13.46,13.55,19.0,27.15,19.07,7.06,Expressed in all low
DPH6,ENSG00000134146,10.05,13.79,10.36,14.97,10.2,10.96,12.83,11.38,8.37,15.18,10.98,12.22,14.2,10.95,8.2,16.09,13.1,13.11,17.2,28.18,37.72,27.42,24.42,21.03,15.99,8.42,6.72,Expressed in all low
POM121L12,ENSG00000221900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Highly tissue enriched
TIMM8A,ENSG00000126953,4.31,4.58,7.96,1.49,2.19,3.28,4.52,2.86,2.77,4.73,4.81,3.8,3.47,2.9,2.19,3.03,3.77,3.0,2.1,2.4,3.93,3.89,5.24,3.13,3.72,2.64,1.89,Expressed in all low
,ENSG00000267303,2.57,1.33,0.77,4.6,6.97,5.8,4.06,1.92,7.14,16.95,9.07,8.23,6.4,9.54,1.24,7.26,7.23,6.84,7.86,10.77,8.99,7.43,6.06,8.9,11.18,12.02,8.53,Mixed high
ZBTB32,ENSG00000011590,0.2,0.04,0.03,0.08,0.27,0.79,0.05,0.64,1.78,4.14,3.92,0.39,0.29,0.2,0.02,0.52,0.03,35.38,0.56,1.35,0.15,0.33,0.11,0.15,0.34,0.37,0.23,Moderately tissue enriched
DCDC1,ENSG00000170959,0.02,0.85,2.17,0.77,1.01,0.07,0.24,0.08,0.02,0.02,0.03,0.01,0.2,0.01,0.02,0.49,0.0,2.28,3.37,0.0,0.9,0.05,0.03,0.16,0.25,0.0,0.13,Mixed low
OOEP,ENSG00000203907,0.06,0.0,0.32,0.59,0.1,0.07,0.04,0.74,0.2,0.1,0.13,0.19,0.0,0.4,0.19,0.09,1.53,11.2,0.07,0.25,0.23,0.36,0.13,0.81,0.31,0.05,1.41,Moderately tissue enriched
NUF2,ENSG00000143228,4.42,0.65,0.6,0.12,0.89,0.81,0.85,2.85,2.53,18.53,8.46,4.63,0.48,6.17,1.4,2.03,6.12,46.8,1.25,3.69,0.54,3.94,0.36,3.79,0.25,21.7,0.41,Mixed high
ATP5IF1,ENSG00000130770,159.56,171.87,124.73,62.41,86.27,145.59,102.15,146.77,103.01,107.87,83.76,194.69,116.33,238.9,65.77,88.01,81.78,192.9,67.05,67.55,89.22,65.0,433.17,92.43,65.34,157.28,105.33,Expressed in all high
FOXD4L3,ENSG00000187559,0.02,0.01,0.03,0.02,0.01,0.0,0.18,0.02,0.23,0.17,0.12,0.01,0.03,0.01,0.0,0.01,0.0,0.22,0.03,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.03,Not detected
TPSAB1,ENSG00000172236,94.55,1.84,2.76,9.57,149.47,48.68,0.64,120.54,0.71,27.62,25.35,70.1,3.47,60.62,21.01,45.64,1.87,8.31,155.72,68.9,0.25,61.27,7.08,29.56,0.39,3.03,5.33,Mixed high
PKIA,ENSG00000171033,2.44,4.87,0.16,0.76,8.22,29.06,62.19,2.01,4.06,7.22,6.48,1.69,10.14,1.38,3.25,2.74,1.76,0.99,9.53,12.63,34.87,21.49,141.8,7.85,4.22,1.83,3.45,Mixed high
COX5B,ENSG00000135940,197.32,176.19,128.63,35.5,47.44,79.14,84.56,130.08,65.27,42.64,54.71,114.13,91.59,139.71,128.77,38.37,48.18,41.0,33.61,41.33,42.7,52.22,221.77,50.87,46.21,62.48,82.14,Expressed in all high
C14orf28,ENSG00000179476,3.24,2.97,2.12,2.02,3.54,4.46,2.06,3.58,3.61,3.37,2.88,4.52,2.65,4.0,7.22,7.77,2.79,8.4,3.89,4.55,3.89,3.94,3.94,3.37,7.14,1.1,2.83,Expressed in all low
OLFM3,ENSG00000118733,0.69,0.71,0.1,0.0,0.0,0.02,16.31,0.12,0.22,0.0,0.64,1.0,1.66,0.17,0.01,0.16,0.0,0.17,0.06,0.0,0.15,0.01,0.03,0.01,0.05,0.02,0.06,Moderately tissue enriched
EPG5,ENSG00000152223,5.68,6.51,4.49,2.3,6.47,5.05,4.65,4.67,8.47,8.1,6.05,5.0,5.7,3.43,4.55,6.86,6.02,5.85,5.11,5.54,9.36,5.67,5.66,13.46,8.22,13.8,3.28,Expressed in all low
RNF43,ENSG00000108375,20.05,6.19,2.82,3.29,4.56,11.12,1.51,6.37,0.69,0.47,2.57,17.58,11.63,24.02,0.33,1.73,6.31,2.82,4.76,1.72,2.39,6.26,2.69,9.07,1.23,0.67,7.03,Mixed high
NECAB2,ENSG00000103154,0.58,21.92,4.87,0.73,0.29,0.16,22.13,1.22,0.47,0.27,0.75,0.81,0.46,0.56,0.42,1.79,0.21,4.16,0.76,0.72,0.35,0.07,0.45,0.09,0.28,0.18,0.02,Mixed high
OR1N1,ENSG00000171505,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not detected
PHKA2,ENSG00000044446,9.68,9.96,19.95,12.56,11.5,20.34,6.85,11.46,14.94,14.11,10.39,15.35,18.4,21.17,22.33,18.39,16.76,17.96,17.3,8.51,14.36,9.97,12.74,17.82,26.15,16.26,14.39,Expressed in all low
CBX8,ENSG00000141570,1.82,2.28,1.32,1.08,2.02,1.23,2.22,2.39,1.74,1.92,2.04,1.58,1.25,2.13,1.14,1.7,2.43,4.88,1.57,1.39,1.62,0.81,1.19,1.21,0.75,1.61,1.75,Mixed low
SIRPG,ENSG00000089012,1.74,0.22,0.5,0.16,0.93,0.33,0.14,2.96,9.08,30.9,11.67,3.21,0.67,2.02,0.05,0.39,0.31,2.73,2.55,5.43,0.28,0.93,0.4,0.4,0.41,1.78,1.16,Mixed high
IQCF5,ENSG00000214681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Highly tissue enriched
GSC2,ENSG00000063515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moderately tissue enriched
DNA2,ENSG00000138346,2.36,1.52,0.79,0.51,1.02,1.98,0.95,1.85,1.27,5.74,3.32,3.07,0.82,2.27,1.05,1.22,1.86,3.43,0.91,1.75,0.76,1.42,0.47,1.91,1.16,3.08,1.25,Mixed low
HBEGF,ENSG00000113070,14.47,7.85,9.58,3.71,26.56,12.07,7.61,15.71,5.08,3.21,31.02,14.01,12.32,4.73,8.67,7.54,9.07,4.68,62.8,35.03,8.85,40.03,27.65,2.31,0.93,23.36,2.41,Mixed high
FNDC10,ENSG00000228594,1.14,1.7,0.13,0.38,2.32,0.47,3.62,1.42,2.28,1.08,1.41,1.15,7.57,1.69,0.52,0.62,1.02,5.14,2.34,2.01,4.01,4.38,0.59,4.94,1.19,1.63,1.01,Mixed low
SLC49A4,ENSG00000138463,11.42,8.61,4.6,8.11,9.82,8.42,8.8,7.38,4.54,3.96,5.29,5.99,9.57,4.52,9.23,4.15,16.76,6.79,9.09,11.43,11.74,14.74,9.36,10.4,3.91,6.38,6.02,Expressed in all low
KMT5C,ENSG00000133247,7.08,4.09,2.56,4.2,7.67,9.16,3.82,8.94,8.56,5.18,5.62,7.34,7.0,8.23,5.82,7.3,8.73,7.89,5.13,4.19,3.19,3.59,2.69,11.24,5.41,10.15,4.22,Expressed in all low
NGRN,ENSG00000182768,51.54,65.57,40.47,30.41,65.08,101.26,162.76,45.21,42.4,39.48,41.31,40.54,109.19,41.46,75.27,78.5,53.53,69.59,68.78,78.2,99.87,69.14,132.42,37.55,81.88,24.42,44.7,Expressed in all high
MBTPS2,ENSG00000012174,5.52,7.45,11.1,3.72,5.22,10.18,9.09,5.58,4.73,5.22,5.9,4.34,11.26,4.98,7.28,9.54,9.27,4.96,7.86,7.91,9.87,6.51,6.29,3.27,11.95,1.03,5.01,Expressed in all low
SH3BP1,ENSG00000100092,19.89,2.35,2.91,1.22,12.7,5.02,6.65,9.57,26.88,36.11,25.3,26.36,4.36,25.14,1.68,7.05,16.92,5.84,10.9,39.27,3.1,36.55,2.29,34.97,5.69,26.62,7.09,Expressed in all low
TENT4A,ENSG00000112941,9.35,6.67,7.12,6.61,12.21,9.68,8.44,10.02,14.58,16.41,12.49,9.87,9.44,10.37,14.75,13.27,11.11,13.76,13.17,11.17,10.38,12.12,6.32,20.04,17.03,19.35,7.41,Expressed in all low
SPATA9,ENSG00000145757,0.5,0.38,0.0,0.6,0.35,0.33,0.34,0.23,1.06,0.66,0.57,0.74,1.12,0.59,5.24,0.46,1.0,33.36,0.68,0.7,0.35,0.25,0.35,0.6,1.94,0.66,0.77,Moderately tissue enriched
FOXI2,ENSG00000186766,0.07,1.36,0.0,0.0,0.12,0.18,0.01,0.12,0.43,0.23,0.12,0.07,0.0,0.0,0.12,0.25,0.0,0.08,0.07,0.05,0.08,0.6,0.1,0.3,0.04,0.01,0.42,Mixed low
,ENSG00000214919,0.01,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.05,0.05,0.02,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,Not detected
UIMC1,ENSG00000087206,13.31,9.07,6.78,9.13,14.08,10.62,8.42,10.89,17.64,23.64,17.62,10.76,15.04,8.51,10.42,18.55,12.96,58.37,11.42,16.64,12.78,11.38,13.23,9.75,20.85,38.07,8.77,Expressed in all low
TRADD,ENSG00000102871,11.5,9.26,4.48,3.8,9.72,11.71,2.77,20.61,16.79,10.59,13.19,8.06,6.78,9.68,10.89,6.04,5.85,3.14,5.83,5.34,8.49,5.36,2.73,10.07,4.03,3.89,8.14,Expressed in all low
FOXRED1,ENSG00000110074,14.04,18.37,21.83,5.44,11.0,12.84,21.23,14.89,18.55,16.6,17.44,13.4,17.37,16.72,13.03,13.6,13.66,16.26,12.08,13.01,12.41,10.65,21.44,15.56,13.56,13.92,10.06,Expressed in all low
ZHX1-C8orf76,ENSG00000259305,0.96,0.49,0.56,0.16,0.85,0.47,0.27,0.71,0.99,1.72,1.03,0.61,1.29,1.2,1.12,0.6,0.82,0.69,0.6,0.85,0.87,1.0,0.94,1.06,0.4,2.54,0.54,Mixed low
UTP20,ENSG00000120800,3.93,3.0,1.73,2.36,2.54,3.22,2.42,2.49,3.24,4.92,5.24,1.92,4.4,1.97,2.74,5.01,3.78,6.09,2.82,3.79,4.56,3.27,1.97,3.9,5.91,2.5,5.78,Expressed in all low
CHST12,ENSG00000136213,6.16,8.02,2.48,2.09,6.31,6.12,3.85,6.68,11.66,4.33,3.86,3.19,3.58,3.18,15.03,5.27,4.3,3.49,2.98,3.02,1.69,1.34,2.8,3.56,3.01,4.2,4.44,Expressed in all low
PRKCA,ENSG00000154229,9.21,14.75,3.47,2.08,5.54,10.23,26.49,6.17,6.7,5.57,7.59,10.22,15.53,11.02,2.4,11.54,4.7,4.25,9.37,10.08,3.9,3.89,3.78,2.6,16.42,1.96,1.77,Expressed in all low
STX16-NPEPL1,ENSG00000254995,1.68,3.88,1.05,1.48,8.69,4.12,8.22,4.68,11.75,10.99,6.91,4.02,3.42,5.61,3.45,2.67,3.24,2.42,6.28,5.3,7.28,3.79,3.13,6.47,3.09,11.36,5.35,Expressed in all low
DHRS4L2,ENSG00000187630,26.11,81.78,40.08,11.24,15.05,18.39,8.62,16.14,16.45,14.15,14.33,36.72,20.13,32.6,20.0,11.94,6.82,22.21,11.75,16.08,12.19,17.98,17.23,20.77,15.23,6.52,16.42,Expressed in all low
ETV3L,ENSG00000253831,0.02,0.0,0.0,0.0,0.04,0.05,0.0,0.02,0.04,0.05,0.4,0.03,0.0,0.04,0.06,0.0,0.06,0.05,0.08,0.06,0.01,0.03,0.0,0.0,0.0,0.03,0.03,Not detected
TRDN,ENSG00000186439,0.33,0.19,0.06,0.11,0.07,22.45,0.51,0.06,0.08,0.09,0.01,0.1,1.54,0.01,12.79,0.43,0.18,3.41,0.19,0.0,0.01,19.29,214.74,0.02,0.75,0.02,0.17,Moderately tissue enriched
VSIG8,ENSG00000243284,0.07,1.32,0.0,0.0,0.25,0.09,0.04,0.08,0.04,0.02,0.03,0.05,0.03,0.05,0.04,0.16,0.14,0.24,0.05,0.07,0.02,1.4,0.03,8.88,0.22,0.03,0.0,Moderately tissue enriched
ZAP70,ENSG00000115085,4.79,1.18,2.47,1.25,12.4,3.19,0.47,10.64,51.11,91.66,46.66,11.77,2.32,7.79,2.97,4.3,1.57,3.25,10.77,13.63,1.5,2.42,1.84,3.36,1.29,35.46,4.07,Mixed high
OR7A10,ENSG00000127515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not detected
CCL1,ENSG00000108702,0.51,0.0,0.0,0.0,0.14,0.0,0.19,0.0,0.04,0.08,0.2,0.07,0.0,0.0,0.0,0.0,0.08,0.14,0.21,0.0,0.0,0.09,0.0,0.07,0.0,0.0,0.0,Not detected
NTNG1,ENSG00000162631,0.41,6.41,0.03,0.21,5.56,3.6,6.82,0.43,0.56,1.05,0.42,0.66,6.36,0.2,0.86,1.1,2.48,1.13,1.23,3.05,0.06,0.36,0.22,0.8,0.61,0.02,0.27,Mixed low
MIS12,ENSG00000167842,11.39,9.69,7.69,4.83,16.63,10.33,9.33,10.98,15.85,23.4,17.48,12.13,10.76,10.99,9.94,12.74,9.9,13.34,13.92,20.14,19.65,14.13,6.72,7.94,11.65,12.08,8.19,Expressed in all low
,ENSG00000154035,3.29,6.71,1.04,3.48,7.59,5.34,2.19,3.3,4.61,3.83,2.75,3.61,3.47,4.03,18.2,5.42,7.94,6.05,5.82,6.6,11.55,4.63,9.82,6.21,4.41,11.94,5.76,Expressed in all low
ELP4,ENSG00000109911,11.42,13.99,6.61,8.07,10.43,8.74,12.46,8.54,8.28,14.42,10.62,10.05,11.59,8.25,10.36,12.63,10.65,12.98,12.98,17.89,11.75,16.09,13.24,12.02,11.87,5.91,8.77,Expressed in all low
MPEG1,ENSG00000197629,30.14,7.1,20.34,2.27,27.84,7.51,4.13,20.75,165.38,85.92,100.41,46.35,15.31,35.15,9.56,9.59,29.63,6.65,36.89,50.91,6.82,12.56,7.92,6.17,4.79,12.49,5.27,Expressed in all low
ANKRD35,ENSG00000198483,0.93,0.48,1.15,0.15,0.82,3.22,2.32,0.62,0.27,0.38,0.92,0.55,1.1,0.42,2.92,2.55,0.22,0.98,1.37,1.36,0.17,14.48,0.63,45.0,3.35,0.17,2.85,Group enriched
SLC38A6,ENSG00000139974,6.21,8.55,4.87,2.21,8.34,6.31,4.8,4.99,8.34,11.08,6.76,4.43,9.37,4.41,8.42,7.5,7.93,10.92,12.86,9.97,8.1,4.28,3.4,3.3,6.01,2.67,6.18,Expressed in all low
MYO3A,ENSG00000095777,0.33,0.4,0.05,0.28,0.19,0.22,0.14,0.45,0.05,0.07,0.19,0.05,0.44,0.18,0.33,0.04,0.01,4.76,0.25,0.12,0.29,0.41,0.03,0.63,0.07,0.18,0.04,Moderately tissue enriched
ICE2,ENSG00000128915,17.51,20.93,12.48,7.53,12.85,16.63,13.02,20.1,16.13,19.53,15.02,12.23,15.84,10.05,19.33,17.96,12.62,16.01,14.63,13.65,19.32,15.68,8.37,10.83,20.38,7.8,12.41,Expressed in all low
